test_id,true_label,predicted_label,confidence,device_output,notes
1,wake_word,wake_word,0.898,"Wake word detected; server count=4","Real XIAO serial/server result provided in chat"
2,not_wake,not_wake,0.652,"Best window 1/2: wake_word=0.348 not_wake=0.652","Real XIAO serial result provided in chat"
3,wake_word,wake_word,0.711,"Best window 1/2: wake_word=0.711 not_wake=0.289; server count=5","Real XIAO serial/server result provided in chat"
4,not_wake,wake_word,0.617,"Manual live run","Incorrect"
5,wake_word,wake_word,0.823,"Manual live run","Correct"
6,not_wake,wake_word,0.611,"Manual live run","Incorrect"
7,wake_word,not_wake,0.638,"Manual live run","Incorrect"
8,not_wake,not_wake,0.702,"Manual live run","Correct"
9,wake_word,not_wake,0.637,"Manual live run","Incorrect"
10,not_wake,not_wake,0.695,"Manual live run","Correct"
11,wake_word,wake_word,0.784,"Manual live run","Correct"
12,not_wake,wake_word,0.628,"Manual live run","Incorrect"
13,wake_word,wake_word,0.742,"Manual live run","Correct"
14,not_wake,not_wake,0.756,"Manual live run","Correct"
15,wake_word,not_wake,0.614,"Manual live run","Incorrect"
16,not_wake,not_wake,0.702,"Manual live run","Correct"
17,wake_word,not_wake,0.626,"Manual live run","Incorrect"
18,not_wake,wake_word,0.609,"Manual live run","Incorrect"
19,wake_word,wake_word,0.807,"Manual live run","Correct"
20,not_wake,not_wake,0.689,"Manual live run","Correct"
